Counties (Location),FormattedDate,Latitude,Longitude,Started (Date),Wildfire_Probability,AcresBurned,County,Latitude,Longitude,Stn Id,Precip (in),precip30 (in),precip60 (in),precip90 (in),Max Air Temp (F),Min Air Temp (F),Avg Air Temp (F),Max Rel Hum (%),Min Rel Hum (%),Avg Rel Hum (%),
Riverside,8/4/2013,33.91027,-116.99895,2013-08-04T16:29:00Z,,60,Riverside,33.9,-117.17,238,0,0.2,0.55,1.53,91.5,58,73.7,88,18,46,
Riverside,8/5/2013,33.62236,-117.40288,2013-08-05T10:10:00Z,,1383,Riverside,33.48665,-117.22827,62,0,0.01,0.03,0.1,87.9,53.2,66.6,96,35,70,
Tuolumne,8/5/2013,38.25108,-120.02778,2013-08-05T06:00:00Z,,1070,Amador,38.508333,-120.79972,227,0,0,0.4,0.56,81.2,51.1,66.3,62,18,36,Keep?
Riverside,8/6/2013,38.838,-116.61,2013-08-06T13:39:00Z,,60,Riverside,33.964942,-117.33698,44,0,0.34,0.36,0.36,87.5,58,70.7,83,21,48,
Lassen,8/7/2013,40.88886,-120.958126,2013-08-07T14:05:00Z,,97,Lassen,40.289799,-120.433948,57,0,0.08,0.22,0.23,87.8,56,72.6,37,13,21,
Lake,8/7/2013,39.1591,-122.5906,2013-08-07T12:35:00Z,,38,Mendocino,39.006747,-123.08012,85,0,0,0.04,0.07,75.1,49.1,59.7,96,49,73,Keep?
San Bernardino,8/8/2013,34.35,-117.62,2013-08-08T12:15:00Z,,243,San Bernardino,34.475914,-117.26351,117,0,0,0,0,85.3,54.6,73.6,41,9,19,
Riverside,8/9/2013,33.86157,-116.90427,2013-08-09T15:51:00Z,,20292,Riverside,33.9,-117.17,238,0,0.15,0.55,0.82,88.2,56.8,70.6,85,23,47,
Placer,8/10/2013,39.12,-120.65,2013-08-10T16:30:00Z,,27440,Placer,38.887603,-121.10291,195,0,0,0,0,87.4,55,71.3,79,29,51,
Humboldt,8/10/2013,41.035,-123.488,2013-08-10T11:40:00Z,,12503,Shasta,40.63,-122.31,224,0,0,2.25,3.22,88.8,52.2,71,86,23,46,Keep?
Shasta,8/14/2013,40.473356,-122.48259,2013-08-14T15:37:00Z,,27,Shasta,40.63,-122.31,224,0,0,2.25,3.22,99.3,54.9,77.4,77,13,32,
Siskiyou,8/15/2013,41.923323,-122.578393,2013-08-15T14:40:00Z,,50,Siskiyou,41.958869,-121.47237,91,0,0.04,1.31,1.67,86.6,42,66.3,91,17,42,
Riverside,8/16/2013,33.570291,-116.10815,2013-08-16T13:31:00Z,,40,Riverside,33.595694,-116.15811,218,0,0,0,0,107.4,75,94.9,47,19,27,
San Bernardino,8/16/2013,34.287,-117.451,2013-08-16T17:57:00Z,,110,San Bernardino,34.255942,-117.21814,192,0,0,0,0,81.4,54.3,70.4,67,27,42,
El Dorado,8/16/2013,38.682378,-120.839075,2013-08-16T13:55:00Z,,116,El Dorado,38.636111,-120.79305,228,0,0.02,0.68,0.88,92.6,70.2,83.3,46,14,24,
Butte,8/16/2013,39.446268,-121.38236,2013-08-16T16:37:00Z,,2462,Butte,39.608639,-121.82443,12,0,0,0.38,0.69,92.6,59.3,74.2,100,0,47,
Tuolumne,8/17/2013,37.857,-120.086,2013-08-17T15:25:00Z,,257314,Merced,37.314139,-120.3867,148,0,0,0.01,0.12,94.8,65,79.8,67,24,39,Keep?
Calaveras,8/17/2013,38.06231,-120.45233,2013-08-17T10:11:00Z,,46,Stanislaus,37.727194,-120.85086,194,0,0,0.07,0.07,91.6,60.3,75.4,66,34,49,Keep?
Lake,8/17/2013,39.013682,-122.491894,2013-08-17T17:25:00Z,,70,Colusa,39.226861,-122.0248,32,0,0,0.1,0.16,96.9,61.6,79.2,78,32,53,Keep?
El Dorado,8/18/2013,38.89555,-120.84716,2013-08-18T23:12:00Z,,38,El Dorado,38.753136,-120.7336,13,0,0,0,0,94.5,65.9,80.6,42,19,29,
Plumas,8/18/2013,40.00842,-120.764666,2013-08-18T18:30:00Z,,513,Lassen,40.289799,-120.433948,57,0,0.1,0.18,0.25,99.6,59.7,80.8,48,11,23,Keep?
Shasta,8/19/2013,40.5445,-121.3754,2013-08-19T17:48:00Z,,196,Shasta,41.063767,-121.45602,43,0.24,0.24,1.01,1.24,96.2,52.7,72.5,86,25,52,
San Bernardino,8/20/2013,34.302,-117.598,2013-08-20T13:32:00Z,,413,San Bernardino,34.255942,-117.21814,192,0,0,0,0,80.8,55.1,68.6,69,18,39,
Tehama,8/23/2013,40.04263,-121.85397,2013-08-23T14:15:00Z,,11429,Tehama,40.044053,-122.16551,8,0,0.01,0.5,0.61,89.1,56.3,72.5,90,31,58,
San Bernardino,8/24/2013,33.642,-116.706,2013-08-24T15:09:00Z,,97,San Bernardino,34.237419,-116.86571,199,0,0.21,0.86,0.86,75.8,43.6,59.4,71,18,37,
Kern,8/24/2013,35.707,-118.588,2013-08-24T14:54:00Z,,794,Kern,35.603111,-119.21259,138,0,0,0,0,90.6,60,75.1,70,17,38,
Tulare,8/24/2013,36.258,-118.459,2013-08-24T14:31:00Z,,134,Tulare,36.3605,-119.05935,86,0,0.09,0.15,0.17,95.1,59.4,77.5,82,26,47,
Butte,8/31/2013,39.731878,-121.713938,2013-08-31T17:23:00Z,,80,Butte,39.608639,-121.82443,12,0,0,0,0.6,91.6,56.6,75.5,100,42,66,
Nevada,8/31/2013,39.333401,-121.107022,2013-08-31T14:42:00Z,,52,Yuba,39.252561,-121.31567,84,0,0,0.01,0.61,93.8,70.3,81.4,40,23,33,Keep?
San Luis Obispo,9/5/2013,35.4393,-120.8358,2013-09-05T15:57:00Z,,94,San Luis Obispo,35.335261,-120.73588,160,0,0,0.01,0.03,76.9,48.4,60.5,100,55,80,
Modoc,9/7/2013,41.569,-120.959,2013-09-07T17:30:00Z,,68,Modoc,41.438214,-120.48031,90,0,0.52,0.52,0.83,84.2,33.7,59.6,87,14,38,
San Mateo,9/7/2013,37.667295,-122.427285,2013-09-07T13:55:00Z,,41,Contra Costa,37.837614,-122.14074,178,0,0,0,0,92.7,50.1,70.5,91,20,45,Keep?
Contra Costa,9/8/2013,37.90757,-121.882582,2013-09-08T13:08:00Z,,3111,Contra Costa,38.015372,-122.02028,170,0,0,0,0,93.8,56.1,71.9,88,20,52,
Modoc,9/8/2013,41.73325,-120.375,2013-09-08T11:53:00Z,,97,Modoc,41.438214,-120.48031,90,0,0.43,0.52,0.83,84.7,35,61.7,80,17,38,
San Bernardino,9/9/2013,34.003151,-117.106075,2013-09-09T13:09:00Z,,73,San Bernardino,34.255942,-117.21814,192,0,0,0,0,79.4,52.6,65,73,19,38,
Shasta,9/9/2013,40.498332,-122.535496,2013-09-09T12:32:00Z,,8073,Shasta,40.63,-122.31,224,0,0,0,2.25,103.1,60.5,83.9,70,10,25,
San Diego,9/11/2013,32.710918,-116.746023,2013-09-11T16:57:00Z,,263,San Diego,32.628208,-116.93928,147,0,0,0,0,76.8,60,67.1,96,63,,
Lake,9/15/2013,38.9777,-122.683,2013-09-15T17:39:00Z,,30,Mendocino,39.006747,-123.08012,85,0,0,0,0.04,81.1,49.9,64.1,91,35,64,Keep?
Los Angeles,9/23/2013,34.149,-117.908,2013-09-23T18:00:00Z,,268,Los Angeles,34.146372,-117.9858,159,0,0,0,0,93.1,56.1,73.5,73,16,36,
San Bernardino,9/24/2013,34.2,-117.417,2013-09-24T15:51:00Z,,200,San Bernardino,34.255942,-117.21814,192,0,0,0,0,72.6,37.6,56.9,65,14,26,
Fresno,9/24/2013,37.279,-119.318,2013-09-24T03:20:00Z,,22992,Fresno,36.721083,-119.38903,142,0,0.16,0.17,0.84,86.1,51.9,70.5,73,24,41,
Mendocino,9/28/2013,38.9252,-122.966,2013-09-28T13:57:00Z,,98,Mendocino,38.982581,-123.08928,106,0,0,0,0,81.5,39,60.3,83,26,57,
Sonoma,10/4/2013,38.34599,-122.6503,2013-10-04T17:37:00Z,,159,Sonoma,38.419439,-122.65872,158,0,0,0,0,83.5,48.9,66.7,53,11,24,
Napa,10/4/2013,38.628,-122.289,2013-10-04T07:35:00Z,,376,Napa,38.428475,-122.41021,77,0,0,0,0,81.9,56.1,70.5,27,12,17,
Butte,10/4/2013,39.439,-121.497,2013-10-04T12:25:00Z,,305,Butte,39.608639,-121.82443,12,0,0.98,0.98,0.98,79.3,53.7,65.9,43,14,27,
Orange,10/5/2013,33.7655,-117.6649,2013-10-05T12:45:00Z,,40,Orange,33.68845,-117.72118,75,0,0.22,0.22,0.31,91.4,63,78.3,25,6,10,
San Diego,10/6/2013,33.341,-117.3092,2013-10-06T10:52:00Z,,2236,San Diego,33.08105,-116.9757,153,0,0,0,0.04,94.1,39.6,65.5,74,9,30,
Yolo,11/4/2013,38.67479,-122.08725,2013-11-04T11:41:00Z,,163,Yolo,38.691786,-122.01381,196,0,0.04,0.04,0.04,69.9,55.3,61.9,30,18,25,
Shasta,11/7/2013,40.483662,-122.140914,2013-11-07T16:10:00Z,,33,Shasta,40.63,-122.31,224,0,0.11,1.07,1.07,73.2,41.9,54.6,87,22,54,
San Luis Obispo,11/8/2013,35.457978,-120.751555,2013-11-08T10:30:00Z,,51,San Luis Obispo,35.472556,-120.64814,163,0,0,0,0,79.6,30,51,84,16,47,
Lake,11/8/2013,38.882214,-122.567525,2013-11-08T13:42:00Z,,120,Sonoma,38.52665,-122.813758,103,0,0.02,0.02,0.02,77.7,34.3,51.3,98,26,69,Keep?
Ventura,11/14/2013,34.384,-119.13249,2013-11-14T11:05:00Z,,64,Ventura,34.324639,-119.10488,198,0,0,0,0,88.2,46.2,62.9,92,26,58,
Napa,11/21/2013,38.382,-122.311,2013-11-21T21:39:00Z,,190,Napa,38.428475,-122.41021,77,0,1.12,1.12,1.12,63,48.4,56.3,97,16,39,
Sonoma,11/22/2013,38.8167,-122.8498,2013-11-22T02:04:00Z,,3505,Sonoma,38.52665,-122.813758,103,0,1.28,1.28,1.28,74.9,46.3,65.3,20,8,11,
Mendocino,11/22/2013,39.0442,-123.1478,2013-11-22T10:06:00Z,,82,Mendocino,39.006747,-123.08012,85,0,0.09,0.09,0.12,73.3,47.9,61.7,21,6,11,
Lake,11/23/2013,38.9289,-122.5818,2013-11-23T14:17:00Z,,23,Mendocino,39.006747,-123.08012,85,0,0.09,0.09,0.12,72.7,42.7,57.2,50,10,21,Keep?
Lake,11/23/2013,39.0448,-122.7656,2013-11-23T12:04:00Z,,50,Mendocino,39.006747,-123.08012,85,0,0.09,0.09,0.12,72.7,42.7,57.2,50,10,21,Keep?
Santa Clara,12/31/2013,37.342186,-121.717706,2013-12-31T05:30:00Z,,40,Santa Clara,37.015026,-121.53704,211,0,0.43,0.95,1.08,69.7,26.3,44.6,76,24,53,
