Extinguished (Date),Counties (Location),CountyIds (might not need this one),Latitude,Longitude,Wildfire_Probability,AcresBurned,Avg_Temperature,Avg_Humidity,Rainfall_30,Rainfall_60,Rainfall_90
2014-08-13T06:15:00Z,Modoc,25,41.507,-121.266,,101,,,,,
2014-09-05T18:30:00Z,Lake,17,0,0,,100,,,,,
2014-09-01T22:00:00Z,Riverside,33,0,0,,100,,,,,
2014-09-17T18:45:00Z,El Dorado,9,38.59,-120.028,,94,,,,,
2014-06-08T19:45:00Z,Mariposa,22,0,0,,90,,,,,
2014-06-24T19:00:00Z,Calaveras,5,38.058,-120.66,,85,,,,,
2014-08-19T16:45:00Z,Nevada,29,39.3918,-120.0805,,84,,,,,
2014-08-31T08:15:00Z,Santa Clara,43,0,0,,80,,,,,
2014-07-12T18:00:00Z,Contra Costa,7,37.5359,-121.5118,,80,,,,,
2014-09-09T19:45:00Z,Mariposa,22,0,0,,79,,,,,
2014-07-24T09:00:00Z,Riverside,33,0,0,,78,,,,,
2014-07-08T18:30:00Z,Shasta,45,40.5719,-121.3415,,75,,,,,
2014-05-01T19:00:00Z,Monterey,27,36.103,-121.117,,75,,,,,
2014-07-16T08:00:00Z,Butte,4,39.4664,-121.6129,,72,,,,,
2014-09-05T09:15:00Z,Tuolumne,55,37.8316,-120.3434,,70,,,,,
2014-07-06T08:30:00Z,Kern,15,0,0,,70,,,,,
2014-06-13T08:00:00Z,Solano,48,121.999,38.453,,70,,,,,
2014-09-21T09:00:00Z,Inyo,14,0,0,,65,,,,,
2014-09-22T16:30:00Z,Mendocino,23,0,0,,62,,,,,
2014-01-02T07:30:00Z,Butte,4,0,0,,60,,,,,
2014-03-29T17:15:00Z,Riverside,33,33.5982,-116.1985,,57,,,,,
2014-05-20T11:30:00Z,San Diego,37,0,0,,56,,,,,
2014-05-15T11:30:00Z,Shasta,45,40.39,-122.721,,50,,,,,
2014-10-17T18:15:00Z,San Bernardino,36,33.93869,-117.70643,,48,,,,,
2014-07-08T18:30:00Z,San Luis Obispo,",40",35.8218,-121.0226,,47,,,,,
2014-06-11T07:30:00Z,Fresno,10,36.991825,-119.525506,,40,,,,,
2014-07-08T06:56:00Z,Nevada,29,39.1871,-121.2687,,38,,,,,
2014-08-02T08:00:00Z,Humboldt,12,0,0,,37,,,,,
2014-05-29T08:45:00Z,Stanislaus,50,0,0,,37,,,,,
2014-06-07T19:00:00Z,Riverside,33,0,0,,31,,,,,
2014-08-02T11:00:00Z,Siskiyou,47,0,0,,30,,,,,
2014-07-09T16:45:00Z,El Dorado,9,38.608336,-120.703238,,30,,,,,
2014-05-06T10:20:00Z,San Diego,37,32.665,-116.222,,29,,,,,
2014-09-15T14:20:00Z,Napa,28,38.695961,-122.384054,,27,,,,,
2014-09-30T15:00:00Z,Ventura,56,0,0,,25,,,,,
2014-08-29T13:15:00Z,Shasta,45,40,29.24,,25,,,,,
2014-06-09T19:15:00Z,Fresno,10,36.742747,-119.241493,,25,,,,,
