Counties (Location),FormattedDate,Latitude,Longitude,Extinguished (Date),Wildfire_Probability,AcresBurned,County,Latitude (WeatherStation),Longitude (WeatherStation),Stn Id,Precip (in),precip30 (in),precip60 (in),precip90 (in),Max Air Temp (F),Min Air Temp (F),Avg Air Temp (F),Max Rel Hum (%),Min Rel Hum (%),Avg Rel Hum (%)
San Diego,5/15/2014,33.312,-117.162,2014-05-15T18:30:00Z,,380,San Diego,33.08105,-116.9757,153,0,0.27,0.66,2.41,103.9,46.2,76.5,60,7,19
Shasta,5/15/2014,40.39,-122.721,2014-05-15T11:30:00Z,,50,Shasta,40.63,-122.31,224,0,0.13,3.12,9.4,91.5,49.9,71.1,87,17,47
San Diego,5/17/2014,33.003,-117.133,2014-05-17T20:14:00Z,,1548,San Diego,32.885847,-117.14314,150,0,0.25,0.65,2.42,77.6,58.9,66.8,100,55,81
San Diego,5/17/2014,33.1109,-117.279,2014-05-17T00:00:00Z,,600,San Diego,32.901867,-117.25046,173,0.01,0.05,0.24,1.87,69.6,59.3,63.3,99,82,91
San Diego,5/19/2014,33.3529,-117.284889,2014-05-19T09:20:00Z,,5367,San Diego,33.08105,-116.9757,153,0,0.27,0.66,2.41,76.8,55,65,92,43,67
Santa Barbara,5/19/2014,34.609,-120.454,2014-05-19T09:20:00Z,,632,Santa Barbara,34.672222,-120.51306,231,0,0.08,0.95,0.97,65.2,42.7,56.6,92,60,77
San Diego,5/20/2014,33.417572,-117.550567,2014-05-20T23:30:00Z,,1457,San Diego,32.901867,-117.25046,173,0,0.05,0.24,1.87,63.7,58,60.5,86,71,77
San Diego,5/22/2014,33.1137,-117.1599,2014-05-22T18:15:00Z,,1995,San Diego,33.08105,-116.9757,153,0,0.27,0.66,2.41,69.4,50.9,59.4,98,65,83
Lake,5/26/2014,39.1647,-122.5983,2014-05-26T08:45:00Z,,175,Mendocino,39.006747,-123.08012,85,0,0.01,0.35,0.9,84.4,51.6,66.5,80,25,46
Tuolumne,6/5/2014,37.76617,-120.45087,2014-06-05T20:00:00Z,,487,Stanislaus,37.727194,-120.85086,194,0,0,0.24,2.06,93.5,58.6,76.2,64,25,37
Tuolumne,6/6/2014,37.787,-120.452,2014-06-06T09:30:00Z,,269,Stanislaus,37.727194,-120.85086,194,0,0,0.24,2.06,92.1,53.8,73.2,73,23,44
Fresno,6/9/2014,36.742747,-119.241493,2014-06-09T19:15:00Z,,25,Fresno,36.721083,-119.38903,142,0,0,0.85,1.74,107.2,63.8,88,47,7,20
Fresno,6/11/2014,36.991825,-119.525506,2014-06-11T07:30:00Z,,40,Fresno,36.820833,-119.74231,80,0,0.19,0.88,1.68,92.2,63.4,78.1,69,25,41
Tehama,6/13/2014,40.009827,-122.345078,2014-06-13T13:50:00Z,,225,Tehama,40.044053,-122.16551,8,0,0.47,0.52,1.92,82.9,51.5,70.3,65,23,34
Solano,6/13/2014,121.999,38.453,2014-06-13T08:00:00Z,,70,Solano,38.501258,-121.97853,139,0,0,0.36,3.11,85.2,53.9,70.1,75,25,42
Mariposa,6/13/2014,37.7103,-120.197,2014-06-13T18:30:00Z,,130,Merced,37.314139,-120.3867,148,0,0,0.3,1.33,86.5,51.7,70.8,74,18,38
Kern,6/20/2014,35.70683,-118.555527,2014-06-20T08:30:00Z,,3895,Kern,35.205583,-118.77841,125,0,0.32,0.8,1.98,95.9,62.1,81.1,45,13,25
Calaveras,6/21/2014,38.178241,-120.679019,2014-06-21T19:00:00Z,,120,Amador,38.508333,-120.79972,227,0,0,1.96,5.05,87.4,52.7,70.5,63,15,30
Calaveras,6/21/2014,38.178241,-120.679019,2014-06-21T19:00:00Z,,120,,,,,,,,,,,,,,
Calaveras,6/24/2014,38.058,-120.66,2014-06-24T19:00:00Z,,85,Stanislaus,37.727194,-120.85086,194,0,0,0.24,1.91,89.2,56.3,73.1,70,29,46
Modoc,7/3/2014,41.89,-120.79,2014-07-03T10:30:00Z,,1651,Modoc,41.438214,-120.48031,90,0,0.24,0.94,1.81,88.9,43.8,69,89,21,41
Trinity,7/3/2014,40.41,-123.24,2014-07-03T10:45:00Z,,15,Shasta,40.63,-122.31,224,0,0,0.02,0.15,101.8,62.1,83.1,70,14,32
San Diego,7/6/2014,33.078948,-116.576454,2014-07-06T09:15:00Z,,217,San Diego,33.268447,-116.36505,207,0,0,0,0,107.2,77.3,93.6,51,17,30
Modoc,7/7/2014,41.489,-120.904,2014-07-07T07:00:00Z,,1469,Modoc,41.438214,-120.48031,90,0,0.24,0.62,1.67,98.7,47.1,74.6,66,13,33
San Luis Obispo,7/8/2014,35.8218,-121.0226,2014-07-08T18:30:00Z,,47,San Luis Obispo,35.472556,-120.64814,163,0,0.01,0.02,0.07,90.8,50.5,70,85,17,45
Shasta,7/8/2014,40.5719,-121.3415,2014-07-08T18:30:00Z,,75,Shasta,41.063767,-121.45602,43,0,0.09,0.12,0.84,94.4,32,78.8,80,28,40
Nevada,7/8/2014,39.1871,-121.2687,2014-07-08T06:56:00Z,,38,Yuba,39.252561,-121.31567,84,0,0,0.02,0.81,97.6,73.4,85.2,57,23,36
El Dorado,7/9/2014,38.608336,-120.703238,2014-07-09T16:45:00Z,,30,El Dorado,38.636111,-120.79305,228,0,0,0.37,2.24,90.7,65.6,78.5,59,22,34
Napa,7/9/2014,38.664,-122.454,2014-07-09T18:00:00Z,,4300,Napa,38.428475,-122.41021,77,0,0,0,0,80.2,52.8,64.5,94,53,76
Lake,7/9/2014,38.664,-122.454,2014-07-09T18:00:00Z,,4300,Napa,38.428475,-122.41021,77,0,0,0,0,80.2,52.8,64.5,94,53,76
Shasta,7/10/2014,40.6569,-122.2215,2014-07-10T07:30:00Z,,143,Shasta,40.63,-122.31,224,0,0,0.01,0.14,100.5,59.1,81.4,70,13,32
Contra Costa,7/12/2014,37.5359,-121.5118,2014-07-12T18:00:00Z,,80,Contra Costa,37.928258,-121.6599,47,0.06,0.91,2.3,2.55,88.6,53.3,71.2,89,36,57
Yolo,7/12/2014,38.512,-122.104,2014-07-12T18:00:00Z,,6488,Yolo,38.691786,-122.01381,196,0,0.01,0.02,0.38,96.9,57.8,78.2,85,23,44
Butte,7/16/2014,39.4664,-121.6129,2014-07-16T08:00:00Z,,72,Butte,39.608639,-121.82443,12,0,0,0.89,2.35,88.8,64.6,76.6,91,50,65
Kern,7/21/2014,35.642,-118.15,2014-07-21T14:45:00Z,,1680,Kern,35.205583,-118.77841,125,0,0,0.32,0.76,93.3,66.3,81.2,73,35,49
Shasta,7/26/2014,40.4314,-122.750788,2014-07-26T20:00:00Z,,12661,Shasta,40.63,-122.31,224,0,0,0,0.02,105.4,56.3,82.7,57,7,
Amador,8/2/2014,38.5691,-120.7819,2014-08-02T19:15:00Z,,4240,Amador,38.508333,-120.79972,227,0,0,0,0.18,95.4,63.7,80.1,45,14,26
El Dorado,8/2/2014,38.5691,-120.7819,2014-08-02T19:15:00Z,,4240,El Dorado,38.636111,-120.79305,228,0,0,0,0.52,94.5,72.4,83.4,33,13,20
Modoc,8/13/2014,41.1336,-121.2144,2014-08-13T07:00:00Z,,13153,Modoc,41.438214,-120.48031,90,0,0.41,0.65,0.95,79.6,41.2,60.2,87,19,46
Modoc,8/13/2014,41.507,-121.266,2014-08-13T06:15:00Z,,101,Modoc,41.438214,-120.48031,90,0,0.41,0.65,0.95,79.6,41.2,60.2,87,19,46
Siskiyou,8/14/2014,41.796,-123.374,2014-08-14T09:30:00Z,,0,Siskiyou,41.958869,-121.47237,91,0,0.83,1.15,1.66,74.3,46.2,59.8,96,43,69
Shasta,8/15/2014,40.901,-121.368,2014-08-15T14:00:00Z,,39736,Shasta,41.063767,-121.45602,43,0,0.51,0.6,0.63,85.4,47.1,67.6,83,27,47
San Diego,8/17/2014,32.59154,-116.89516,2014-08-17T07:45:00Z,,20,San Diego,32.628208,-116.93928,147,0,0.06,0.08,0.13,88.2,64.6,74.8,94,34,66
Siskiyou,8/18/2014,41.682,-122.127,2014-08-18T10:00:00Z,,5503,Siskiyou,41.958869,-121.47237,91,0,0.87,1.19,1.19,86.4,46.5,68.3,86,19,45
Siskiyou,8/18/2014,42.048,-122.345,2014-08-18T09:45:00Z,,35302,Siskiyou,41.958869,-121.47237,91,0,0.87,1.19,1.19,86.4,46.5,68.3,86,19,45
Nevada,8/19/2014,39.3918,-120.0805,2014-08-19T16:45:00Z,,84,Alpine,38.773409,-119.79193,246,0,0.22,0.22,0.22,84.1,51.5,69.3,47,14,26
Madera,8/25/2014,37.3433,-119.6581,2014-08-25T08:25:00Z,,612,Madera,37.02,-120.15,188,0,0,0,0,85.8,58.6,72.1,85,35,57
Shasta,8/25/2014,40.72,-121.562,2014-08-25T10:00:00Z,,32416,Shasta,41.063767,-121.45602,43,0,0.49,0.55,0.62,83.7,52.9,69.1,79,23,43
Kern,8/27/2014,35.7206,-118.4747,2014-08-27T18:00:00Z,,4045,Kern,35.205583,-118.77841,125,0,0,0,0.32,98.2,61.3,79.5,65,18,35
Trinity,8/28/2014,40.7412,-122.946,2014-08-28T19:00:00Z,,580,Shasta,40.63,-122.31,224,0,0.09,0.09,0.09,100.3,59.8,80.7,73,13,33
Shasta,8/29/2014,40,29.24,2014-08-29T13:15:00Z,,25,Shasta,41.063767,-121.45602,43,0,0.49,0.53,0.62,87.7,49.3,68.7,81,21,44
Tuolumne,9/5/2014,37.8316,-120.3434,2014-09-05T09:15:00Z,,70,Stanislaus,37.727194,-120.85086,194,0,0,0,0.02,87.5,57.6,71.1,90,38,62
Napa,9/15/2014,38.695961,-122.384054,2014-09-15T14:20:00Z,,27,Napa,38.428475,-122.41021,77,0,0,0,0,86.5,49.3,65.6,92,34,63
Humboldt,9/15/2014,41.134,-123.753,2014-09-15T11:00:00Z,,210,Shasta,40.63,-122.31,224,0,0,0.09,0.09,97,56.4,78.5,68,12,28
Shasta,9/16/2014,40.7101,-122.171,2014-09-16T09:30:00Z,,1375,Shasta,40.63,-122.31,224,0,0,0.09,0.09,90.5,52.5,70.8,66,11,32
El Dorado,9/17/2014,38.59,-120.028,2014-09-17T18:45:00Z,,94,El Dorado,38.753136,-120.7336,13,0,0.1,0.29,0.47,86.3,61.7,74.3,60,16,28
Nevada,9/18/2014,39.113682,-120.999508,2014-09-18T18:45:00Z,,247,Placer,38.887603,-121.10291,195,0,0,0,0,82.3,62.7,71.4,81,48,65
Orange,9/22/2014,33.748,-117.601,2014-09-22T15:00:00Z,,968,Orange,33.68845,-117.72118,75,0,0,0.01,0.02,81.5,57.1,68.8,92,56,74
Madera,9/22/2014,37.311915,-119.604124,2014-09-22T07:15:00Z,,320,Madera,37.02,-120.15,188,0,0,0,0,88.9,56.1,71.6,94,33,60
El Dorado,9/25/2014,38.9195001,-120.1140659,2014-09-25T07:27:00Z,,20,El Dorado,38.753136,-120.7336,13,0.55,0.74,0.9,1.19,62.2,48.2,55.1,94,59,83
El Dorado,10/9/2014,38.805437,-120.629714,2014-10-09T17:20:00Z,,97717,El Dorado,38.753136,-120.7336,13,0,1.02,1.16,1.34,79.6,57.6,67.9,37,18,28
Siskiyou,10/11/2014,41.42384,-122.37432,2014-10-11T18:50:00Z,,516,Siskiyou,41.958869,-121.47237,91,0,0.08,0.16,0.95,69.7,35.6,50.4,85,40,65
Mariposa,10/12/2014,37,40.34,2014-10-12T18:00:00Z,,311,Siskiyou,41.958869,-121.47237,91,0,0.08,0.12,0.95,65.9,26.1,44.7,95,26,59
San Bernardino,10/17/2014,33.93869,-117.70643,2014-10-17T18:15:00Z,,48,San Bernardino,34.255942,-117.21814,192,0,0,0,0,66.5,34.5,50,92,25,62
Shasta,11/14/2014,41.141,-122.805,2014-11-14T13:00:00Z,,6258,Shasta,40.63,-122.31,224,0,3.38,5.51,5.51,64,47.4,55,96,63,87
Los Angeles,12/12/2014,34.235,-117.771,2014-12-12T14:00:00Z,,190,Los Angeles,34.056589,-117.81307,78,1.37,3.78,4.35,4.36,61.6,46.7,54.7,100,71,92
Los Angeles,12/12/2014,34.267,-117.867,2014-12-12T13:30:00Z,,274,Los Angeles,34.146372,-117.9858,159,2.33,5.4,6.1,6.1,62.4,50,55.9,90,68,83
Madera,12/12/2014,37,18.4,2014-12-12T13:45:00Z,,10,Madera,37.02,-120.15,188,1.55,2.3,2.61,2.63,52,49,50.5,98,92,96
Siskiyou,3/2/2015,41.485,-121.851,2015-03-02T09:00:00Z,,200,Siskiyou,41.958869,-121.47237,91,0,1.31,1.71,4.36,50.3,22.8,36.2,85,31,55
Plumas,4/18/2015,40.05083333,-120.7016667,2015-04-18T23:50:00Z,,137,Lassen,40.289799,-120.433948,57,0,0.24,0.46,4.01,77.3,34.9,59.3,68,12,26
Riverside,4/24/2015,33.884313,-117.642759,2015-04-24T07:30:00Z,,1049,Riverside,33.964942,-117.33698,44,0.01,0.12,0.74,1.39,61.9,54.6,57.9,81,60,71
Merced,5/11/2015,37.08312,-121.06963,2015-05-11T12:15:00Z,,275,Merced,37.231861,-120.88082,92,0,0.33,0.72,1.04,80.2,43.3,62.2,92,24,46
Humboldt,6/11/2015,41.1513,-123.8292,2015-06-11T18:15:00Z,,20,Siskiyou,41.577778,-122.838125,225,0,1.26,1.26,1.26,91.1,37.6,66.5,89,17,40
Kern,6/15/2015,35.77937,-120.19482,2015-06-15T18:45:00Z,,67,Kern,35.649861,-119.9593,54,0,0.07,0.64,0.75,98.8,65.5,81.1,44,10,24
Amador,6/17/2015,38.260777,-121.135426,2015-06-17T06:45:00Z,,60,Amador,38.508333,-120.79972,227,0,0.07,2.01,3.79,92.2,56.7,75.2,53,15,32
Napa,6/17/2015,38.5287,-122.3415,2015-06-17T13:10:00Z,,38,Napa,38.428475,-122.41021,77,0,0.09,0.99,2.14,86.6,50,65.8,89,41,64
Tehama,6/17/2015,40.0133,-122.552,2015-06-17T18:30:00Z,,55,Tehama,40.040006,-122.154539,222,0,0,0.23,1.33,95.5,62.2,80.1,89,24,47
San Diego,6/19/2015,32.9421,-116.8534,2015-06-19T17:45:00Z,,171,San Diego,33.08105,-116.9757,153,0,0,0,0.89,94.7,45.2,70.6,98,23,54
Lassen,6/20/2015,40.875667,-121.033667,2015-06-20T19:35:00Z,,60,Lassen,40.289799,-120.433948,57,0,1.91,2.52,2.76,92.3,41.4,70.8,66,10,21
Alpine,6/22/2015,38.598056,-119.751944,2015-06-22T12:05:00Z,,0,Alpine,38.773409,-119.79193,246,0,1.1,3.93,7.97,86,45.2,67.4,40,9,19
Yuba,6/22/2015,39.2688,-121.26471,2015-06-22T11:45:00Z,,158,Yuba,39.252561,-121.31567,84,0,0,0.89,2.31,88.6,56.8,73.4,50,15,32
Madera,6/23/2015,37.072561,-119.6958,2015-06-23T18:25:00Z,,135,Madera,37.02,-120.15,188,0,0,0.79,1.2,94.4,53.6,76.4,84,21,40
Madera,6/25/2015,37.165767,-119.523943,2015-06-25T18:45:00Z,,920,Madera,37.02,-120.15,188,0,0,0.23,1.2,102.9,61.1,83.4,84,18,39
San Diego,6/26/2015,32.6449163,-116.9454387,2015-06-26T22:15:00Z,,80,San Diego,32.628208,-116.93928,147,0,0.07,0.89,1.07,81.4,62.3,70.1,89,57,74
Los Angeles,6/26/2015,34.361007,-118.535793,2015-06-26T17:00:00Z,,415,Los Angeles,34.426361,-118.51758,204,0,0.01,0.59,0.68,95.5,61.4,77.8,62,12,31
Napa,6/28/2015,38.519132,-122.181878,2015-06-28T18:00:00Z,,19,Napa,38.428475,-122.41021,77,0,0.09,0.3,2.14,86.3,56.9,71.9,85,38,61
San Bernardino,6/29/2015,34.165974,-117.243878,2015-06-29T09:00:00Z,,100,San Bernardino,34.255942,-117.21814,192,0.04,1.95,3.31,3.71,83.3,56.5,70.1,86,33,55
Mendocino,6/29/2015,39.7806004,-123.248214,2015-06-29T07:15:00Z,,35,Mendocino,39.006747,-123.08012,85,0,0.01,0.07,0.29,97.7,50.6,73.1,95,15,43
Trinity,6/29/2015,40.924,-123.168,2015-06-29T09:00:00Z,,1542,Siskiyou,41.577778,-122.838125,225,0,0.19,1.28,1.28,97,46.9,73.8,87,14,38
Tehama,7/4/2015,39.8448,-122.3638,2015-07-04T20:15:00Z,,170,Tehama,40.040006,-122.154539,222,0,0,0.01,1.32,98.5,69.4,85.1,87,35,54
Mendocino,7/5/2015,39.0263,-123.303,2015-07-05T09:00:00Z,,23,Mendocino,38.982581,-123.08928,106,0,2.18,3.86,5.8,83.2,56.1,68.8,90,49,67
Solano,7/8/2015,38.4113,-122.0789,2015-07-08T20:45:00Z,,150,Solano,38.501258,-121.97853,139,0,0.02,0.06,0.22,87.5,57.9,71.5,77,33,52
Shasta,7/8/2015,40.5953,-122.4397,2015-07-08T16:30:00Z,,18,Shasta,40.63,-122.31,224,0.04,0.08,0.39,0.45,96.8,66,77.1,89,19,48
Solano,7/10/2015,38.1029,-122.1578,2015-07-10T17:00:00Z,,40,Solano,38.278056,-121.74111,212,0,0.06,0.07,0.2,75.5,58,65.3,81,51,67
Riverside,7/12/2015,33.986204,-117.43942,2015-07-12T19:48:00Z,,21,Riverside,33.964942,-117.33698,44,0,0.03,0.43,1.13,89.6,59.8,73.4,81,27,51
Siskiyou,7/14/2015,41.8048,-122.5029,2015-07-14T08:30:00Z,,181,Siskiyou,41.577778,-122.838125,225,0,0.45,1.64,1.71,87.7,52.7,69.1,100,26,60
Orange,7/15/2015,33.7626,-117.7274,2015-07-15T18:45:00Z,,214,Orange,33.68845,-117.72118,75,0,0,0.05,1.36,80.6,61.3,69.8,92,53,69
San Luis Obispo,7/15/2015,35.7183,-121.0157,2015-07-15T07:00:00Z,,95,San Luis Obispo,35.472556,-120.64814,163,0.01,0.65,1.23,1.76,79.2,49.1,61.6,96,39,72
San Diego,7/17/2015,33.21407,-116.73472,2015-07-17T15:15:00Z,,25,San Diego,33.08105,-116.9757,153,0,0,0,0,89,54.5,71.9,95,39,67
San Benito,7/20/2015,36.8727,-121.5681,2015-07-20T15:30:00Z,,25,San Benito,36.822861,-121.46787,143,0.03,1.03,2.01,3.3,91.1,60.9,73.7,92,44,67
San Bernardino,7/21/2015,34.0783472,-117.0487863,2015-07-21T07:20:00Z,,54,San Bernardino,34.237419,-116.86571,199,0,1.54,1.81,2.25,72.4,38.8,56.2,89,38,69
San Bernardino,7/21/2015,34.339,-117.478,2015-07-21T07:00:00Z,,4250,San Bernardino,34.475914,-117.26351,117,0,0.84,0.86,0.92,88.9,62.6,75,90,25,56
Placer,7/22/2015,38.9361,-121.1548,2015-07-22T19:50:00Z,,26,Placer,38.887603,-121.10291,195,0,0.02,0.31,2.03,89.3,61.9,75,60,17,38
Siskiyou,7/22/2015,41.999341,-121.891226,2015-07-22T17:00:00Z,,24,Siskiyou,41.802476,-121.996159,236,0,1.49,4.39,7.12,80.6,47.7,64.6,97,34,56
San Diego,7/25/2015,32.682547,-116.51684,2015-07-25T16:05:00Z,,25,San Diego,32.628208,-116.93928,147,0,1.09,1.16,1.99,86.8,63,74.4,95,43,67
Modoc,7/25/2015,40.856422,-121.101623,2015-07-25T22:00:00Z,,77,Modoc,41.438214,-120.48031,90,0,1.81,2.69,6.34,81.4,38.2,62.4,87,14,36
San Diego,7/26/2015,33.383889,-116.868611,2015-07-26T06:45:00Z,,167,San Diego,33.08105,-116.9757,153,0,0,0,0,87.5,55.1,70.5,95,34,64
Tulare,7/26/2015,36.085212,-118.824235,2015-07-26T10:30:00Z,,430,Tulare,36.082056,-119.09342,169,0,0.13,0.14,0.51,95.4,61.2,78.4,71,18,38
Modoc,7/26/2015,41.29226,-121.172117,2015-07-26T10:10:00Z,,116,Modoc,41.438214,-120.48031,90,0,1.81,2.69,6.34,80.3,40.9,61.4,90,23,47
Stanislaus,7/28/2015,37.24523,-121.20324,2015-07-28T15:00:00Z,,40,Stanislaus,37.438944,-121.13851,161,0,0.04,0.07,0.25,100.3,63.2,83.2,60,16,30
El Dorado,7/29/2015,38.776,-120.404,2015-07-29T14:15:00Z,,75,El Dorado,38.753136,-120.7336,13,0,0.01,0.32,1.44,98.5,72.7,86.4,23,11,15
Contra Costa,7/30/2015,37.81629,-121.68113,2015-07-30T16:00:00Z,,195,Contra Costa,37.928258,-121.6599,47,0.06,1.02,2.47,3.78,99.9,61.9,80.1,100,18,47
Shasta,7/31/2015,40.49865,-122.20109,2015-07-31T18:30:00Z,,90,Shasta,40.63,-122.31,224,0,0.11,0.22,0.46,103.7,65.8,84.9,60,14,31
Shasta,7/31/2015,40.509552,-122.199227,2015-07-31T18:40:00Z,,75,Shasta,40.63,-122.31,224,0,0.11,0.22,0.46,103.7,65.8,84.9,60,14,31
Modoc,7/31/2015,41.399,-121.392,2015-07-31T20:00:00Z,,4863,Modoc,41.438214,-120.48031,90,0,1.81,2.69,6.34,97.2,44.3,71.7,85,13,36
Humboldt,7/31/2015,40.1093,-123.774,2015-07-31T19:00:00Z,,16,Mendocino,39.006747,-123.08012,85,0,0.01,0.02,0.08,91.5,59,73.4,81,33,56
San Bernardino,8/1/2015,34.16027778,-116.8927778,2015-08-01T22:15:00Z,,31359,San Bernardino,34.237419,-116.86571,199,0,1.39,1.83,2.25,79.5,44.2,61.7,72,23,38
Shasta,8/1/2015,40.415108,-122.439939,2015-08-01T19:00:00Z,,212,Shasta,40.63,-122.31,224,0,0.11,0.18,0.46,100,69.6,84.1,63,20,38
Humboldt,8/1/2015,41.295667,-123.784067,2015-08-01T21:45:00Z,,158,Siskiyou,41.577778,-122.838125,225,0,0.44,0.53,1.75,101,57.8,75.6,86,19,51
Mendocino,8/3/2015,39.43301,-123.36316,2015-08-03T08:55:00Z,,50,Mendocino,39.006747,-123.08012,85,0,0.01,0.02,0.08,86.9,55.4,67.2,94,34,63
Butte,8/3/2015,39.43963,-121.38794,2015-08-03T17:00:00Z,,400,Butte,39.386632,-121.835278,244,0,0,0,0,90.3,60.7,74.2,78,0,
Los Angeles,8/4/2015,34.367,-117.683,2015-08-04T08:15:00Z,,200,Los Angeles,34.056589,-117.81307,78,0,0.79,0.8,1.82,91.2,61.1,76.1,90,35,57
Shasta,8/4/2015,40.3929,-122.40546,2015-08-04T08:15:00Z,,59,Shasta,40.63,-122.31,224,0,0.11,0.15,0.46,91.3,57.4,73.3,73,23,45
Shasta,8/4/2015,40.67868,-121.93244,2015-08-04T18:00:00Z,,75,Shasta,40.63,-122.31,224,0,0.11,0.15,0.46,91.3,57.4,73.3,73,23,45
Lassen,8/4/2015,40.938,-120.105,2015-08-04T10:37:00Z,,10570,Lassen,40.289799,-120.433948,57,0,1.17,1.81,3.41,89.7,46.2,68.7,64,16,32
Tuolumne,8/4/2015,37.823,-120.15644,2015-08-04T18:00:00Z,,204,Merced,37.314139,-120.3867,148,0,0,0.12,0.13,82,63.5,74.2,77,39,49
Tulare,8/5/2015,36.49845,-118.9009,2015-08-05T17:45:00Z,,86,Tulare,36.3605,-119.05935,86,0,0.04,0.07,0.88,84,62.8,73.6,87,51,68
Yuba,8/5/2015,39.33303,-121.18735,2015-08-05T07:30:00Z,,30,Yuba,39.252561,-121.31567,84,0,0.02,0.03,0.05,88.5,57.2,72.4,84,32,56
Tehama,8/9/2015,40.3506868,-121.7786799,2015-08-09T20:30:00Z,,110,Tehama,40.040006,-122.154539,222,0,0,0.01,0.02,93.2,59.4,76.6,92,25,52
San Diego,8/10/2015,33.4115972,-117.2886249,2015-08-10T15:05:00Z,,55,San Diego,33.08105,-116.9757,153,0,0,0,0,82.4,59.6,68.7,92,52,73
Nevada,8/12/2015,39.192088,-120.882313,2015-08-12T19:15:00Z,,2304,Yuba,39.252561,-121.31567,84,0,0.02,0.03,0.05,88.3,61,74.9,57,31,41
Madera,8/13/2015,37.279722,-119.50014,2015-08-13T10:30:00Z,,5702,Madera,37.02,-120.15,188,0,0,0,0,94.8,59.3,77.6,87,24,46
Lake,8/14/2015,38.8863538,-122.4762475,2015-08-14T18:15:00Z,,69438,Yolo,38.691786,-122.01381,196,0,0,0,0.04,94.2,57.2,77.5,72,22,38
Riverside,8/15/2015,33.5736,-116.5387,2015-08-15T17:30:00Z,,543,Riverside,33.678186,-116.27299,208,0,0,0,0,112.4,84.5,100.3,41,15,22
Tuolumne,8/16/2015,37.83618,-120.61691,2015-08-16T19:20:00Z,,112,Stanislaus,37.727194,-120.85086,194,0,0,0,0,97.6,62.5,80.1,68,25,41
Calaveras,8/18/2015,38.052,-120.5577,2015-08-18T07:15:00Z,,114,Stanislaus,37.727194,-120.85086,194,0,0,0,0,92.3,58.7,75.3,76,28,50
Alameda,8/22/2015,37.3845,-121.3732,2015-08-22T18:30:00Z,,2700,Alameda,37.663969,-121.88503,191,0,0.13,0.22,0.69,86,55,66.7,90,31,65
Napa,8/25/2015,38.8142503,-122.4867319,2015-08-25T06:45:00Z,,25118,Napa,38.428475,-122.41021,77,0,0,0.07,0.16,92.4,50.5,68.8,90,26,60
Lake,8/25/2015,38.8142503,-122.4867319,2015-08-25T06:45:00Z,,25118,Sonoma,38.52665,-122.813758,103,0,0,0.04,0.06,86.6,51.1,63.8,98,33,73
Lake,8/25/2015,38.831478,-122.53428,2015-08-25T18:30:00Z,,22,Sonoma,38.52665,-122.813758,103,0,0,0.04,0.06,86.6,51.1,63.8,98,33,73
Lake,8/27/2015,38.925764,-122.879272,2015-08-27T15:15:00Z,,215,Mendocino,38.982581,-123.08928,106,0,2.07,3.56,4.92,94,49.3,71.5,65,24,42
San Luis Obispo,8/28/2015,35.3477,-120.6269,2015-08-28T18:15:00Z,,2446,San Luis Obispo,35.305442,-120.66178,52,0,0,1.3,1.32,94.7,60.6,79.8,95,21,41
Humboldt,8/29/2015,40.1058823,-124.0720419,2015-08-29T07:00:00Z,,146,Mendocino,39.006747,-123.08012,85,0,0,0.01,0.02,80,57.8,67.7,97,28,61
Trinity,8/29/2015,40.724898,-122.96174,2015-08-29T18:45:00Z,,128,Shasta,40.63,-122.31,224,0,0,0.11,0.22,88.5,59.3,78,60,24,38
Lassen,8/30/2015,41.12362,-121.194256,2015-08-30T08:00:00Z,,30,Lassen,40.289799,-120.433948,57,0,0.27,1.5,2.11,82.6,42.6,63.7,64,9,26
Tulare,9/5/2015,36.24,-118.54,2015-09-05T18:00:00Z,,6980,Tulare,36.3605,-119.05935,86,0,0,0.04,0.07,84.7,53.8,68.7,81,29,52
Lake,9/8/2015,55.23,-122,2015-09-08T19:28:00Z,,673,Siskiyou,41.958869,-121.47237,91,0,0.04,0.63,1.58,83.8,34.4,59.4,86,15,43
Lassen,9/10/2015,40.400196,-120.553075,2015-09-10T07:49:00Z,,40,Lassen,40.289799,-120.433948,57,0,0,0.65,1.5,95.1,46.3,72,56,11,24
Trinity,9/10/2015,40,41.46,2015-09-10T17:05:00Z,,35,Siskiyou,41.958869,-121.47237,91,0,0.04,0.63,1.54,88.8,40.9,65.3,84,15,39
San Bernardino,9/11/2015,34.23,-116.883,2015-09-11T15:00:00Z,,55,San Bernardino,34.237419,-116.86571,199,0,0.07,1.45,1.84,77.4,44,59.5,84,27,55
Fresno,9/11/2015,40.400196,-120.553075,2015-09-11T19:17:00Z,,170,Fresno,36.890056,-120.73141,124,0,0,0.04,0.04,95.4,66.5,80.7,56,17,33
Shasta,9/13/2015,40.47512,-122.52541,2015-09-13T10:15:00Z,,109,Shasta,40.63,-122.31,224,0,0,0,0.11,98.2,62.8,78.3,62,13,33
Tuolumne,9/15/2015,38.04684,-120.30188,2015-09-15T19:15:00Z,,108,Stanislaus,37.727194,-120.85086,194,0,0,0,0,78.4,53.4,65.4,93,29,62
Butte,9/17/2015,39.5218,-121.3363,2015-09-17T19:30:00Z,,1042,Butte,39.608639,-121.82443,12,0,0.16,0.16,0.16,77.9,54.8,64.8,96,38,69
